scheme,step,hour,load,slice,slice_name,offered_mbps,delivered_mbps,radio_mbps,compute_cap_mbps,eta,d_e2e_ms,d_transport_ms,d_proc_ms,violated,placement
S0,18,2,0.2,1,BE-DL,4.0,4.0,91.64998799631682,20.0,1.6785712087237514,115.20324941100662,112.0,2.0,0,central/central/edge
S0,18,2,0.2,2,YOLO,3.0,3.0,27.82016620953883,15.0,0.5095268536545573,118.01078146999566,112.0,3.6,1,central/central/edge
S0,18,2,0.2,3,VIDEO,6.4,6.4,23.750437293024376,32.0,0.43498969401143545,115.71540212030911,112.0,1.6,1,central/central/edge
S0,18,2,0.2,4,CPU-OFF,1.6,1.6,67.19246687459592,8.0,1.2306312614394856,131.43276361837934,112.0,18.0,0,central/central/edge
S0,18,2,0.2,5,MQTT,0.4,0.4,75.1117412029782,2.0,1.3756729158054615,112.95590014978757,112.0,0.6,1,central/central/edge
S0,19,2,0.2,1,BE-DL,4.0,4.0,125.53017627257128,20.0,2.2990874775196204,114.7578322556448,112.0,2.0,0,central/central/edge
S0,19,2,0.2,2,YOLO,3.0,3.0,10.89807565928158,15.0,0.19959845529819745,115.99773297755861,112.0,3.6,1,central/central/edge
S0,19,2,0.2,3,VIDEO,6.4,6.4,14.53945932648666,32.0,0.26629046385506705,114.88687798657952,112.0,1.6,1,central/central/edge
S0,19,2,0.2,4,CPU-OFF,1.6,1.6,43.73622516155944,8.0,0.8010297648637259,130.35343277237095,112.0,18.0,0,central/central/edge
S0,19,2,0.2,5,MQTT,0.4,0.4,79.02920596154554,2.0,1.4474213546070611,113.53519626142695,112.0,0.6,1,central/central/edge
S0,20,2,0.2,1,BE-DL,4.0,4.0,42.402980338223344,20.0,0.776611361505922,114.83560672844233,112.0,2.0,0,central/central/edge
S0,20,2,0.2,2,YOLO,3.0,3.0,26.580916970080835,15.0,0.48682998113701165,117.93792973539476,112.0,3.6,1,central/central/edge
S0,20,2,0.2,3,VIDEO,6.4,6.4,12.869719350797737,32.0,0.2357091456190062,114.04679735682708,112.0,1.6,1,central/central/edge
S0,20,2,0.2,4,CPU-OFF,1.6,1.6,39.91192146860295,8.0,0.7309875726850357,132.76433284146427,112.0,18.0,0,central/central/edge
S0,20,2,0.2,5,MQTT,0.4,0.4,30.01482925062884,2.0,0.5497221474474147,114.08031115670057,112.0,0.6,1,central/central/edge
S0,21,2,0.2,1,BE-DL,4.0,4.0,78.74559972689191,20.0,1.4422271012251267,115.93998888659532,112.0,2.0,0,central/central/edge
S0,21,2,0.2,2,YOLO,3.0,3.0,9.828,15.0,0.18,117.13350753615839,112.0,3.6,1,central/central/edge
S0,21,2,0.2,3,VIDEO,6.4,6.4,9.828,32.0,0.18,114.44219114634821,112.0,1.6,1,central/central/edge
S0,21,2,0.2,4,CPU-OFF,1.6,1.6,62.351090317515656,8.0,1.1419613611266604,132.7347806261815,112.0,18.0,0,central/central/edge
S0,21,2,0.2,5,MQTT,0.4,0.4,88.05227098569823,2.0,1.612678955782019,113.87849769846211,112.0,0.6,1,central/central/edge
S0,22,2,0.2,1,BE-DL,4.0,4.0,32.10286268195476,20.0,0.5879645179845194,114.42164177168355,112.0,2.0,0,central/central/edge
